alcohol_*C1_electrostatic_charge,alcohol_*C1_exposed_area,alcohol_electronegativity,alcohol_primary,alcohol_secondary,alcohol_tertiary,alcohol_cyclic ,alcohol_4-membered_ring,alcohol_5-membered_ring,alcohol_6-membered_ring,alcohol_7-membered_ring,alcohol_benzylic,alcohol_allylic,alcohol_homobenzylic,alcohol_homoallylic,alcohol_alpha-carbonyl,alcohol_beta_carbonyl,alcohol_hemiacetal,alcohol_alpha amino,base_*N1_exposed_area,sulfonyl_fluoride_*S1_electrostatic_charge,sulfonyl_fluoride_*F1_electrostatic_charge,sulfonyl_fluoride_*O1_electrostatic_charge,yield
0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.21,-0.439,42
0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.849,-0.198,-0.401,48
0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.978,-0.208,-0.436,47
0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.204,-0.43,52
0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.926,-0.162,-0.384,52
0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.21,-0.439,76
0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.849,-0.198,-0.401,78
0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.978,-0.208,-0.436,87
0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.204,-0.43,82
0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.926,-0.162,-0.384,80
0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.21,-0.439,78
0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.849,-0.198,-0.401,79
0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.978,-0.208,-0.436,91
0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.204,-0.43,87
0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.926,-0.162,-0.384,84
0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.21,-0.439,87
0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.849,-0.198,-0.401,88
0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.978,-0.208,-0.436,96
0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.204,-0.43,83
0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.926,-0.162,-0.384,94
0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.21,-0.439,40
0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.849,-0.198,-0.401,57
0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.978,-0.208,-0.436,52
0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.204,-0.43,54
0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.926,-0.162,-0.384,39
0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.21,-0.439,54
0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.849,-0.198,-0.401,59
0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.978,-0.208,-0.436,69
0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.204,-0.43,63
0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.926,-0.162,-0.384,60
0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.21,-0.439,41
0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.849,-0.198,-0.401,49
0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.978,-0.208,-0.436,57
0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.204,-0.43,55
0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.926,-0.162,-0.384,61
0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.21,-0.439,42
0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.849,-0.198,-0.401,53
0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.978,-0.208,-0.436,60
0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.204,-0.43,51
